Symbol,Name,Price(USD)
BTC,Bitcoin,62617.8130627458609970
ETH,Ethereum,3456.4177223292212539
USDT,Tether,0.9988244025792184
BNB,BNB,576.8671121689300422
SOL,Solana,146.6300326609545871
USDC,USDC,0.9998963973121281
XRP,XRP,0.4796631583725049
DOGE,Dogecoin,0.1236863145578085
ADA,Cardano,0.3997868932811703
AVAX,Avalanche,29.5122777949752713
TRX,TRON,0.1285802381405877
SHIB,Shiba Inu,0.0000169911809273
WBTC,Wrapped Bitcoin,62626.0619445395199011
DOT,Polkadot,6.3076934731587219
LINK,Chainlink,14.2804690846752635
BCH,Bitcoin Cash,386.5913019102001531
NEAR,NEAR Protocol,5.2422272353399432
LTC,Litecoin,74.3957018004837967
MATIC,Polygon,0.5567257470090210
UNI,Uniswap,9.1699746355625637
DAI,Multi Collateral DAI,1.0003134171393904
ICP,Internet Computer,8.1173613782262619
ETC,Ethereum Classic,23.5970933615912381
XMR,Monero,169.4621239646597704
RNDR,Render Token,7.4972151755740176
XLM,Stellar,0.0915470120180090
OKB,OKB,42.1817193438753887
FIL,Filecoin,4.4569197328087383
STX,Stacks,1.7058477924278588
MKR,Maker,2588.9903286627126898
CRO,Crypto.com Coin,0.0916159029792509
VET,VeChain,0.0262790871646987
GRT,The Graph,0.2093206117116885
AR,Arweave,28.4611680913641700
LDO,Lido DAO,1.9776494629477707
ATOM,Cosmos,6.7143671864713604
INJ,Injective,22.8212404556192795
FTM,Fantom,0.5807591879534928
THETA,THETA,1.5689486731286138
AAVE,Aave,98.0865425781025062
RUNE,THORChain,4.0993732320042505
ALGO,Algorand,0.1454057106475269
FET,Fetch.ai,1.3734431902827586
HBAR,Hedera Hashgraph,0.0755403866439371
KCS,KuCoin Token,9.9951526611978888
QNT,Quant,77.8684364495252344
FLOW,Flow,0.6205071863209821
GALA,Gala,0.0276913318746465
AXS,Axie Infinity,5.9576566555358487
BSV,Bitcoin SV,44.3739786359676974
EOS,EOS,0.5762291033846927
AKT,Akash Network,3.5592803714796370
NEO,Neo,11.5072959343272049
XTZ,Tezos,0.7933871440665187
AGIX,SingularityNET,0.6067545236169643
PENDLE,Pendle,4.9011582051302799
SAND,The Sandbox,0.3286846530107531
GNO,Gnosis,288.5618032317579898
EGLD,MultiversX,30.6880230686675102
NEXO,Nexo,1.3054798712771488
GT,GateToken,7.8077462617279231
CFX,Conflux,0.1634647255601747
ROSE,Oasis,0.0994006143792243
CHZ,Chiliz,0.0747771899921854
DEXE,DeXe,11.3501891691493731
MANA,Decentraland,0.3348281663534664
XEC,eCash,0.0000317467473168
AIOZ,AIOZ Network,0.5658381186415530
MINA,Mina,0.5356542936496439
KLAY,Klaytn,0.1583211700781001
CAKE,PancakeSwap,2.1240284859937069
IOTA,IOTA,0.1694501279413961
WEMIX,WEMIX,1.3614668229699633
LPT,Livepeer,16.7157482077425486
HNT,Helium,3.2693910350052141
CKB,Nervos Network,0.0117206716126328
TFUEL,Theta Fuel,0.0765729203927924
1INCH,1inch Network,0.3959989454366452
TUSD,TrueUSD,0.9972886668048976
NXM,NXM,73.2543253487218332
RAY,Raydium,1.7939110593508524
KAVA,Kava,0.4315220877619626
FTT,FTX Token,1.4084361394206970
SNX,Synthetix,1.9757937889043139
TWT,Trust Wallet Token,1.0597759392431565
COMP,Compound,48.9569465359764046
WOO,WOO,0.2130563066646440
FEI,Fei Protocol,0.9407295024128473
OM,MANTRA DAO,0.7690849061271562
IOTX,IoTeX,0.0395429342865250
XDC,XinFin Network,0.0299652833894142
KSM,Kusama,23.9455873280599210
OCEAN,Ocean Protocol,0.6085020498116109
CRV,Curve DAO Token,0.2763027907072287
ZEC,Zcash,20.8201271481525922
ZIL,Zilliqa,0.0174824609992992
TRAC,OriginTrail,0.7996223390486045
SUPER,SuperVerse,0.6614494321553737
CELO,Celo,0.5907794718511982
ZRX,0x Protocol,0.3626458810085606
