Symbol,Name,Price(USD)
BTC,Bitcoin,61057.6437081942972477
ETH,Ethereum,2925.7190272947439369
USDT,Tether,1.0013036423748092
BNB,BNB,590.7447381854688474
SOL,Solana,146.5284544382638050
USDC,USDC,1.0017771974615470
XRP,XRP,0.5071030052511344
DOGE,Dogecoin,0.1434178791422365
ADA,Cardano,0.4404208788091376
SHIB,Shiba Inu,0.0000225901333350
AVAX,Avalanche,33.6188389952287043
TRX,TRON,0.1272494784001388
WBTC,Wrapped Bitcoin,61044.2724947417093830
DOT,Polkadot,6.7043514078772419
BCH,Bitcoin Cash,434.1460013297488139
LINK,Chainlink,13.4249008086067938
NEAR,NEAR Protocol,6.9775997260020275
MATIC,Polygon,0.6781022680199495
LTC,Litecoin,81.4914147732219754
LEO,UNUS SED LEO,5.9576894868916652
ICP,Internet Computer,11.8638453727117212
DAI,Multi Collateral DAI,1.0017135448557894
UNI,Uniswap,7.1179292085189991
RNDR,Render Token,10.9246736420771429
ETC,Ethereum Classic,26.7113683718189130
CRO,Crypto.com Coin,0.1239111367298764
FIL,Filecoin,5.6454223547428348
XLM,Stellar,0.1061822782108123
OKB,OKB,50.0827434207064705
STX,Stacks,1.9791703787806836
AR,Arweave,41.5968128757777094
GRT,The Graph,0.2825960096010081
MKR,Maker,2708.2962483497986229
VET,VeChain,0.0343422616085469
XMR,Monero,133.8292792935477058
ATOM,Cosmos,8.5446361499409061
THETA,THETA,2.0050220360012808
FTM,Fantom,0.7127041498921630
RUNE,THORChain,5.8474973224352069
FET,Fetch.ai,2.2076251385008155
INJ,Injective,23.9589853047386935
HBAR,Hedera Hashgraph,0.1100229256134458
LDO,Lido DAO,1.7814718224229755
ALGO,Algorand,0.1799654575198647
AKT,Akash Network,5.6455617144255755
GALA,Gala,0.0422668123235727
FLOW,Flow,0.8454330052142086
AAVE,Aave,83.0469044944512842
BSV,Bitcoin SV,61.7253777251017654
AGIX,SingularityNET,0.9239141776096580
QNT,Quant,95.6360064043134523
NEO,Neo,15.4959314099438482
CHZ,Chiliz,0.1229211352438719
PENDLE,Pendle,4.3523414674291982
AXS,Axie Infinity,7.0319261181379736
KCS,KuCoin Token,10.2970551791894665
SAND,The Sandbox,0.4228830969711662
EGLD,MultiversX,39.4011117067680785
XEC,eCash,0.0000460553293004
XTZ,Tezos,0.9021262004877255
EOS,EOS,0.7847131492469429
MINA,Mina,0.7981038233934080
AIOZ,AIOZ Network,0.7873529184848140
CFX,Conflux,0.2098912436873285
MANA,Decentraland,0.4150324723879486
HNT,Helium,4.8934211490734505
GT,GateToken,8.0940817881312674
GNO,Gnosis,285.4886829325585923
CKB,Nervos Network,0.0161477609176983
KAVA,Kava,0.6480218400555277
CAKE,PancakeSwap,2.6044731846298558
IOTA,IOTA,0.2104521162357047
NEXO,Nexo,1.1996259035966939
TFUEL,Theta Fuel,0.0997316687500405
RBN,Ribbon Finance,1.1491864703073579
KLAY,Klaytn,0.1660991515238479
SNX,Synthetix,2.5721258970671933
BTG,Bitcoin Gold,33.1891440226047189
LPT,Livepeer,17.9447823754549486
ROSE,Oasis,0.0852314056588907
WEMIX,WEMIX,1.5699513493625961
FTT,FTX Token,1.6591108839106306
GLM,Golem,0.5394557862824283
OCEAN,Ocean Protocol,0.9274977993252725
CRV,Curve DAO Token,0.4266918720905535
WOO,WOO,0.2748059455227846
TUSD,TrueUSD,1.0009520863310443
SUPER,SuperVerse,1.0149948879047108
IOTX,IoTeX,0.0503087103804218
DEXE,DeXe,12.7095485822675567
TWT,Trust Wallet Token,1.0803852376671744
COMP,Compound,53.9987020750207019
ANKR,Ankr,0.0433685151506615
RAY,Raydium,1.6393980054435590
1INCH,1inch Network,0.3647093225213594
CELO,Celo,0.7803049672518430
NXM,NXM,63.4061718156241772
XDC,XinFin Network,0.0338670858329965
RPL,Rocket Pool,19.9582565045212680
ZIL,Zilliqa,0.0230003083921552
